side,entry_p,sl,tp,lot,pnl,exit,exit_price,cb,cs,time,pt
BUY,1.3501400000000001,1.3498374285714287,1.3521242571685292,0.5,7.440964381983939,PARTIAL_TP,1.351628192876397,5,2,2025-12-30 10:40:00,
BUY,1.3501400000000001,1.3498374285714287,1.3521242571685292,0.5,9.921285842645622,TP,,5,2,2025-12-30 09:30:00,False
BUY,1.35047,1.350139714285714,1.3527366198755812,1.0,-128.40000000000185,MARKET,,6,2,2025-12-30 13:45:00,True
BUY,1.35041,1.3500651428571429,1.3527759736636762,1.0,-127.80000000000236,MARKET,,5,2,2025-12-30 13:50:00,True
