side,entry_p,sl,tp,lot,cb,cs,pt,time,pnl,exit
BUY,156.055,155.95857142857145,156.3054259457715,0.01,5,0,True,2025-12-26 06:05:00,703.2999999999988,MARKET
BUY,156.049,155.95042857142857,156.30611948266852,0.01,5,0,True,2025-12-26 06:10:00,703.8999999999987,MARKET
