side,entry_p,sl,tp,lot,cb,cs,pt,time,pnl,exit,exit_price
SELL,157.846,157.89439285714286,157.42971867883247,0.01,0,6,True,2026-01-19 04:35:00,-4.839285714285779,SL,
SELL,154.126,154.2040142857143,153.5905792867081,0.01,0,6,True,2026-01-26 14:50:00,-7.801428571428914,SL,
BUY,156.755,156.6697142857143,156.96786842854834,0.005,7,1,,2026-02-05 01:55:00,7.982566070563735,PARTIAL_TP,156.91465132141127
BUY,156.755,156.6697142857143,156.96786842854834,0.005,7,1,False,2026-02-05 00:05:00,10.643421427417366,TP,
SELL,153.003,153.18354285714287,152.3749124803605,0.01,0,7,True,2026-02-12 07:20:00,-1008.5000000000008,MARKET,
SELL,153.143,153.20920714285714,152.39811509462638,0.01,0,6,True,2026-02-12 07:40:00,-994.4999999999993,MARKET,
