side,entry_p,sl,tp,lot,cb,cs,pt,time,pnl,exit,exit_price
SELL,1.36635,1.3671714285714285,1.3643453911013297,0.61,0,5,True,2025-12-26 18:10:00,-5.010714285714024,SL,
BUY,1.37229,1.3720502857142858,1.3745953045882229,1.0,6,0,True,2026-01-02 17:50:00,-2.3971428571423203,SL,
BUY,1.37299,1.3726185714285712,1.3737168435144897,0.5,5,2,,2026-01-05 00:05:00,2.72566317933709,PARTIAL_TP,1.3735351326358674
BUY,1.37299,1.3726185714285712,1.3737168435144897,0.5,5,2,False,2026-01-02 23:20:00,3.6342175724490833,TP,
BUY,1.3768500000000001,1.3765377142857143,1.3787938270522109,1.0,6,2,True,2026-01-05 12:15:00,-3.1228571428587593,SL,
BUY,1.38699,1.386538857142857,1.3885113562206863,1.0,6,2,True,2026-01-08 12:55:00,212.7000000000012,MARKET,
BUY,1.38682,1.3865371428571427,1.3885417118134724,1.0,8,0,True,2026-01-08 13:00:00,214.40000000000126,MARKET,
