side,entry_p,sl,tp,lot,pnl,exit,exit_price,cb,cs,time,pt,time_clean,month
BUY,156.113,156.01367857142858,156.2189642857143,0.005,3.9736607142856433,PARTIAL_TP,156.1924732142857,3,2,2025-12-29 02:15:00,,2025-12-29 02:15:00,2025-12
BUY,156.113,156.01367857142858,156.2189642857143,0.005,5.298214285714664,TP,,3,2,2025-12-29 02:10:00,False,2025-12-29 02:10:00,2025-12
SELL,156.366,156.4000357142857,156.27589285714288,0.005,3.3790178571422307,PARTIAL_TP,156.29841964285717,3,5,2025-12-29 11:10:00,,2025-12-29 11:10:00,2025-12
SELL,156.366,156.4000357142857,156.27589285714288,0.005,4.505357142856781,TP,,3,5,2025-12-29 11:00:00,False,2025-12-29 11:00:00,2025-12
SELL,156.195,156.28214285714284,156.07757142857142,0.01,-8.714285714285097,SL,,0,3,2025-12-30 02:45:00,True,2025-12-30 02:45:00,2025-12
SELL,156.095,156.12264285714286,156.03307142857142,0.02,-5.52857142857306,SL,,2,4,2025-12-30 15:35:00,True,2025-12-30 15:35:00,2025-12
BUY,156.684,156.65203571428572,156.73189285714287,0.02,1274.000000000001,MARKET,,4,0,2025-12-31 22:30:00,True,2025-12-31 22:30:00,2025-12
BUY,156.661,156.62035714285713,156.71092857142858,0.01,639.3000000000002,MARKET,,4,2,2025-12-31 22:35:00,True,2025-12-31 22:35:00,2025-12
