side,entry_p,sl,tp,lot,pnl,exit,exit_price,cb,cs,time,pt
BUY,156.755,156.6697142857143,156.96786842854834,0.005,7.982566070563735,PARTIAL_TP,156.91465132141127,7,1,2026-02-05 01:55:00,
BUY,156.755,156.6697142857143,156.96786842854834,0.005,10.643421427417366,TP,,7,1,2026-02-05 00:05:00,False
SELL,153.003,153.18354285714287,152.3749124803605,0.01,-18.0542857142882,SL,,0,7,2026-02-12 07:20:00,True
SELL,154.519,154.61499999999998,154.2421534850694,0.01,-9.599999999997522,SL,,0,7,2026-02-23 20:15:00,True
BUY,159.743,159.70071428571427,159.87906370626916,0.005,5.102388985093853,PARTIAL_TP,159.84504777970187,7,0,2026-04-07 10:05:00,
BUY,159.743,159.70071428571427,159.87906370626916,0.005,-2.114285714286268,SL,,7,0,2026-04-07 07:45:00,False
