side,entry_p,sl,tp,lot,cb,cs,pt,time,pnl,exit
BUY,1.38699,1.3865666428571428,1.3885113562206863,1.0,6,2,True,2026-01-08 12:55:00,212.7000000000012,MARKET
BUY,1.38682,1.3865653571428571,1.3885417118134724,1.0,8,0,True,2026-01-08 13:00:00,214.40000000000126,MARKET
